incident_description,primary_cause
Lead Operator heard strange noise while in control room. Employee went to investigate and found pump guard half of the coupling laying next to one of four DE supply pumps. The employee stopped the pump using the E-stop.,-NEGLIGENCE
when chain fall was removed from air compressor discharge line when new piping was attached the chain fall was left laying in the walkway area next to the compressor picked up the chain fall and stored it with the others along the south wall hanging with excess chain in a bucket and attached to the lower hook to keep it off the floor.,-NEGLIGENCE
"Employee was in the C&P warehouse when he noticed a strong sewer like odor. He notified another employee who contacted Andrea Thomas about the odor. Andrea went over to the location and was able to determine that the strong odor was coming from the portable stop light trailer. Andrea recognized the odor as that of hydrogen sulfide, so she obtained a confined space meter and tested the atmosphere inside the enclosed trailer. The hydrogen sulfide alarm was activated and readings were stable around 15 ppm. Andrea called the manufacture and she had the trailer moved to the rear parking lot. Once outside, the trailer doors were opened to allow for ventilation. The atmosphere was tested inside the trailer before entry. Once the general atmosphere tested safe, Andrea tested each one of the four units battery compartments to determine the source. She found 2 of the four battery compartments to contain 73 ppm of CO, 5 ppm H2S and 7 ppm LEL (on average). We suspect that the ""smart charger"" is malfunctioning and is continuously charging the batteries causing them to over heat and off-gas harmful gases. State H&S lead has called and the vendor and they are coming 4/15/16 to check the internal trailer charging mechanism. If this situation had not been recognized it may have resulted in an explosion, fire, property damage and/or injury. ",-NEGLIGENCE
Went to use Bench grinder. It had a broken guard on the tool rest took out of service. Called plant manager  about it he came out and look at it and said it is old and unsafe just replace it.  Replaced with a new one from Granger.,-NEGLIGENCE
"Chief operator noticed pumps were not running, noticed the disconnection was in the off position. Employee attempted to turn on when linkage fell from behind flash panel across line (L1) and a brace. Operator also heard pop then main breaker tripped. Then the operator immediately called electrician.",-NEGLIGENCE
"While doing a monthly Lab Safety check the fume hood was tested. It was not working at all. A new blower, identical to the old blower was ordered and install two days later. However the new motor also did not suck are out of the fume hood. It was pulling air out of the ducting but once it was fully connected to the fume hood it was not powerful enough to move air in the operating area of the hood. We are now getting pricing on new equipment to try and get it in the budget for next year. ",-NEGLIGENCE
A chair arm became detached and could have resulted in serious injury.  Had the employee used the arm rest for stability while sitting down this could have resulting in a fall and possible injury.  It appears that the pin/bolt that was holding the arm rest in place is missing.  When the arm rest fell off the only pieces found was the washers and a bolt as well as the dial to adjust the ergonomics feature of the arm rest. ,-NEGLIGENCE
I noticed a small Sodium Permanganate leak coming from a sched 80 chemical feed line.  I notified my supervisor and we both installed a chemical repair patch to temporarily isolate the leak.  The patch allows us time to schedule a permanent fix which will require the chemical feed system to be drained to install new material. ,-CHEMICAL
"The breaker panel at this location is significantly deteriorated and is in need of replacement. When the panel door was opened, the cover protecting the conductors just fell out onto the ground. This presents potential safety issues for personnel performing inspections at this site and is scheduled to be replaced by 5/9/16.",-ELECTRICAL-NEGLIGENCE
"A subcontractor was contracted by American Water to perform a water tie in on a water main southeast of the Roy Gate of Hill Air Force Base. On April 20, 2016 at 0830 American Water personnel arrived at the job site to turn valves and shut water off to the water main being worked on. At that time a trench box was in place and personnel were working in the excavation. The job site and excavation appeared to be in compliance with OSHA and AW regulations and requirements. AW advised the subcontractor personnel that a second trench box would be needed to complete the tasks or the excavation would need to be widened by sloping the excavation walls. Water was still flowing so AW personnel left the job site to exercise valves to see if the water could be isolated completely.  At 1000 AW personnel returned to the excavation. AW personnel noticed that the trench box was removed and tools were in the bottom of the excavation indicating that the subcontractor personnel had been working in the excavation with out proper protection. At 1022 Chris Mair, AW Health and Safety Specialist, received notification from American Water workers of a possible issue with the subcontractor performing excavation work. At 1035 Chris Mair requested to meet the subcontractor's management on scene to go over the excavation job and proper procedures that needed to be followed.  Upon arriving at the scene at 1100, it was confirmed that the subcontractor personnel had been working in the excavation without proper shoring. American Water and the subcontractor went over with all personnel the excavation requirements and developed a plan forward. Workers widened the excavation but did not step the walls or reinstall shoring before reentering the excavation at 1130. American Water stopped all work at that time and notified the subcontractor's management of the issues. It was decided that a stop work order would be issued and that additional training needed to take place in order to ensure the safety of all workers involved. Training expectations were discussed and agreed upon between American Water and the subcontractor. AW directed that no work would continue until all training was completed and reviewed. In addition, American Water requested that an investigation report be submitted for the incident and a change in site supervisor/competent person be made.  The subcontractor removed the job site foreman from HAFB and revoked his DBIDS ID in order to prevent him from working on future AW projects. The DBIDS badge was returned to AW on April 22, 2016. Training for the subcontractor personnel occurred on April 25, 2016. Documentation of the training was provided to American Water on April 26 and the subcontractor was permitted to resume work at 0815.",-POOR_JUDGMENT-NEGLIGENCE
Railing around the TTP basins are failing.,-FALL-POOR_JUDGMENT-NEGLIGENCE
"Found a loaded,  40 caliber hand gun on roadway and turned in to Brooklyn Police Department.",-NEGLIGENCE
Crews were working on service repair located directly under a high PSI gas main requiring them to hand dig under gas main. At approx. 3:30 I stopped to inspect job. found Dave digging next to side of ditch where spoil pile was located. Although depth was marginal the site had been previously excavated one week prior. I stopped job called crew out of hole and shut job down while we discussed the potential hazards. As we spoke the side of excavation collapsed in the spot where Dave had just been standing in hole. Sent senior man to get dump truck and had backhoe operator move spoils away from ditch to remove overburden and increase the bench. ,-POOR_JUDGMENT-NEGLIGENCE
While ridding with one of our employees I noticed the front end was unstable causing the truck to shake.  In a few days the condition has gotten worse and it is now observed at low speeds.  Had a conversation with employee and we removed the truck from service.  We are working with fleet manager to get a replacement as soon as possible since this truck is unsafe to drive and is an older truck and not worth fixing. ,-VEHICLE-NEGLIGENCE
"Earlier today a contractor was carrying a pump across a steel plate laying over a customers vault. The plate gave way and fell into the vault. The contactor did not get injured, but was shaken up. We discussed being aware of you surroundings and in the future checking all vault covers for stability before stepping onto them.  Lesson learned.",-POOR_JUDGMENT-NEGLIGENCE
"While I was working at home, chlorinating my pool chlorine splashed up on my face.  Luckily I was wear my sun glasses.  Think safety at home!",-CHEMICAL
An employee leaning back in chair lost his balance a little but didn't fall.  He was told to keep all 4 legs on the floor.,-POOR_JUDGMENT-NEGLIGENCE
"I observed the landscape contractor cutting out bushes with a chain saw.  This work was being done on the grounds of Voorhees HQ.  He was kneeling in mulch cutting a very thick piece of wood at the base of a dead bush.  He wore no protective equipment.  I went out and spoke to him and he said they are in the truck but he was finished the work and they are leaving.  He should have at least wore protective eyewear, ear wear and gloves.  Knee pads would be a good add as well since he was operating a chainsaw while kneeling.",-NEGLIGENCE
There is some serious damage to the microwave that could be indication of a fire hazard. I turned the microwave sideways to prevent from anyone using this particular one. ,-ELECTRICAL-NEGLIGENCE
Hose was left in the area in front of one of the shower/eye wash stations in the chemical building.  I removed the hose and a bucket of liquid.  The area is now cle,RAIN-SNOW-HIGH_WINDS
An AW Banner we had displayed at our FiOS meeting this morning (May 12th) snapped and fell apart with a loud bang.  Scared our speaker Linda Sullivan and we continued on with our meeting.,-POOR_JUDGMENT-NEGLIGENCE
weekly check of the hourly alarm was not completed on Friday as required by PM schedule failure to not ensure the alarm is working properly and cause an issue for personnel safety since we rely on it for verification the operator on shift is ok by acknowledging the alarm when it goes off every hour check is scheduled for Friday to make sure it is working prior to the weekend and if there is a problem it allows the IT department time to check it out before the close of business.  Alarm was tested per the log on Saturday morning,-NEGLIGENCE
Employee reported that he almost got into an accident with a company vehicle due to the fact that he only had a couple hours off from work.  Employee mentioned that it is not wise to sent employees out in the rain especially when they only had a couple hours to off.  ,-POOR_JUDGMENT-NEGLIGENCE
It was identified that and electrical panel was not up to code and had exposed electrical wires.  The issue was reported to management and the electrical system will be replace.,-ELECTRICAL-NEGLIGENCE
At the Airfield Lift station using the Vac Truck the staff noticed that the Boom Support mounted on the front of the truck was cracked. This was noticed after they mounted the boom for travel back to the Admin building.   ,-VEHICLE-NEGLIGENCE
Throttle on lift truck suddenly stuck while operating causing tow motor to move at higher than normal rate of speed.  Applied clutch to slow down and shut off until it could be repaired.  Lift truck was repaired and is now back in service.,-NEGLIGENCE
"While walking into the store one of the ladies in our party turned around to say something to another person and when she turned back around a bicyclist that was riding on the sidewalk almost ran into her.  He never even reacted at the almost accident, just kept riding.",-POOR_JUDGMENT-NEGLIGENCE
"Ladder attached to Railing / Walking Pateform @ WWTP New Sand Filter needs CHAINS installed across Opening.  Opening @ top of Ladder, ( WHILE ON TOP OF Walkway, becomes a FALL HAZARD which is a SAFETY ISSUE ! )",-POOR_JUDGMENT-NEGLIGENCE
Employee found large meter vault lid left open at treatment plant.  This could have resulted in serious injury if someone had step in while left open.  Employee closed lid.,-POOR_JUDGMENT-NEGLIGENCE
"While doing our annual flushing, I arrived at a cul de sac to run a blow off.  After locating B.O. and associated valve, I removed the lid on the valve box to find a decent sized snake laying underneath the lid, with several more wedged inside the valve box. It was enough to catch me by surprise as I was not expecting that when removing the lid. I was unable to determine the type of snake but was able to safely remove them and continue flushing. ",-POOR_JUDGMENT-NEGLIGENCE
"While Performing sewer cleaning, Oswald's(subcontractor) vehicle was encroaching a traffic lane.  One of Oswald's workers was directing traffic while the vehicle was encroaching on the traffic lane.  The worker who was directing traffic was not wearing a safety vest and was not using a flag or pole to direct traffic.  Instead, he was waving traffic on using his hands.",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
While transferring services on Brownsville Rd a individual walking down the street stopped and asked the crew for a job.  The crew told him he needed to apply online.  As the individual continued walking down the street towards the next crew working he stopped and asked the second crew the same question.  After receiving the same answer the individual then jumped over the barricades and into the open ditch.  At that time I alerted the police officer that was onsite for traffic control and he took the individual away. ,-NEGLIGENCE
A small amount of polymer was spilled while changing a polymer tote & hose. The spilled polymer was cleaned up immediately.,-CHEMICAL
"Mark was operating a small track hoe when he reported that he had a head ache during his shift while operating the equipment. Upon his reporting the incident, a strong emission smell was indicated and reported out to his supervisor. Outside service was contacted and determined the injectors and exhaust system were faulty and found to be the cause. The equipment was taken out of service until repairs correcting the issue are addressed.",-NEGLIGENCE
"Employees were offloading road plates from a trailer using a backhoe.  After hooking chains to road plates employee was standing too close to road plate. When road plate cleared the trailer surface a sudden movement caused the plate to swing unexpectedly, striking the employee in the foot.",-NEGLIGENCE
Out doing meter reads and almost attacked by a dog but hit dog with a stick and dog ran off.  ,-NEGLIGENCE
While checking the operation of the fire hose nozzle and observed that the nozzle had been previously broken.  Removed the nozzle from service.  Had I not noted that the nozzle looked seized up and worn and inspected further the hose nozzle could have flew off if it had been used causing a serious injury.,-NEGLIGENCE
While working on the jobsite at 529 Sheridan Circle @ 10:00 AM. We had traffic diverted on the street and coned off with men working signs up. WVAW employee was visiting the site an and was heading back to his truck when a speeding car came through our work zone and almost hit employee. I shouted and grabbed employee and pulled him back in time to avoid being hit by the driver. ,-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
While changing Chlorine cylinders it was discovered that the valves on the ton Chlorine cylinders were opened all the way instead of the 1/4 to 1/2 turn that they should be.  ,-CHEMICAL
"A traffic accident occurred in our work zone where we had flaggers present with road signs. The flagger had 3 vehicles stopped, when the fourth vehicles driver was not paying attention and crashed into the 3 stopped vehicles. If the first vehicle was stopped any closer to the flagger the impact would have caused an injury/fatality to the flagger. However no injuries occurred to any PA American water employees, but their were 3 injuries with the accident.",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
"A crew of contractors were welding/cutting in an elevated tower  when sparks from the task reached the ground. The grass had previously been cut and now dried became a potential fire hazard. The contractor did not have a key to enter the gate where the grass was located even though a fire guard was in attendance. The contractors stopped work ,put out the embers with water and contacted facility personnel for assistance in getting into the gate. The contractors now have access to get into the gate.",-NEGLIGENCE
The Senior Operator on shift at NCP was transferring Ammonia NH3 from the Bulk Tank to the Day Tank on the newly installed system. During the transfer the smell of Ammonia filled the room and made the atmosphere very difficult to be in. The vent fans where turned on and the leak was reported. ,-HAZARDOUS_CHEMICAL-CHEMICAL-POOR_JUDGMENT-NEGLIGENCE
Employees operating the NO-DES flushing truck were un-sure about the maximum system pressure under which the equipment would operate safely.  It was decided to stop equipment operation until the answer was determined.  Consultation with the manufacturer has clarified the maximum operating pressure which is consistent with our equipment SOP.  A visual warning will also be placed in a prominent position on the truck to remind operators of the limits.,-NEGLIGENCE
pinched finger in between ladder sides while shutting it,-POOR_JUDGMENT-NEGLIGENCE
While changing the CL2 cylinders it was noticed that the valves were open 2-3 turns instead of 1/4-1/2 turns.,-CHEMICAL
"While using the hoist crane to lift of a road tamper, smoke was observed coming from a connection point to the crane motor.... Steps were taken to call maintenance service",-NEGLIGENCE
An employee leaning back in chair lost his balance a little but didn't fall.  He was told to keep all 4 legs on the floor.,-POOR_JUDGMENT-NEGLIGENCE
"While performing daily tasks, I found a tick dug into my leg. The tick was removed and I haven't had any symptoms as of yet. Another employee reported removing a tick from his person that was dug in. It was also removed and no symptoms",-POOR_JUDGMENT-NEGLIGENCE
we use an acid solution to clean the chlorine injectors for the water plant disinfection. We had been using a small container but it was top heavy with the injector placed in it and would tip over if not properly placed. I got a beaker and lined a box with padding to hold it steady so it would remain upright during cleaning operations.,-CHEMICAL
Crews using Sawsall to cut Composite lids for logger placement in the field while standing on them or holding them. Potential for cutting injury.,-NEGLIGENCE
I was checking Well # 7 and I looked up and spotted a black and white snake on the fence.  I left the well until the snake had left the area.,-POOR_JUDGMENT-NEGLIGENCE
Found missing rung on ladder at treatment plant.  Ladder has been discarded and new ladder ordered.,-NEGLIGENCE
Backflow preventer for fire hydrant had a malfunctioning valve.  Caused water to be ejected at a high velocity towards me.  I shut off hydrant and repaired the valve and put it back in use.,-NEGLIGENCE
"While using the hoist crane to lift of a road tamper, smoke was observed coming from a connection point to the crane motor.... Steps were taken to call maintenance service",-NEGLIGENCE
Lab tech. smelled something getting hot while autoclave was running. - He called maintenance to check junction box. Maintenance found 2 wires not making good connection while autoclave was under  a load. Maintenance tightened wires down.,-ELECTRICAL-NEGLIGENCE
While receiving a chemical delivery is was noticed that the driver had on short sleeves and no eye protection. Delivery was stopped and driver was asked to put on proper PPE. Once driver had proper PPE on the delivery process was resumed.,-CHEMICAL-NEGLIGENCE
"Found a spray bottle hanging in RBC #6 that was unlabeled.  Marked the bottle as ""do not use"".  Notified the operators to have them properly label..  ",-CHEMICAL
"While checking a chemical tank prior to a delivery, it was noted that some of the labeling was falling off.  Labels will be replaced. ",-CHEMICAL
A small amount of polymer was spilled while changing a polymer tote & hose. The spilled polymer was cleaned up immediately.,-CHEMICAL
The cover on a sump hole was tilted and not seated properly - The cover was leveled & reset.,-POOR_JUDGMENT-NEGLIGENCE
"During an internal peer safety walk through, one of the issues discovered was that the exhaust fans for the chlorine chemical rooms had been turned off.  This created a potential exposure to a hazardous chemical if a leak would have occurred and an unknowing person walked into the room.  Immediately following the walkthrough the chemical exhaust fans were turned back on, evaluated for proper operation and warning labels were installed to discourage the units from being shut off in the future.  Supervision also had a discussion with staff explaining the importance of leaving the units on.  ",-CHEMICAL
"While doing our annual flushing, I arrived at a cul de sac to run a blow off.  After locating B.O. and associated valve, I removed the lid on the valve box to find a decent sized snake laying underneath the lid, with several more wedged inside the valve box. It was enough to catch me by surprise as I was not expecting that when removing the lid. I was unable to determine the type of snake but was able to safely remove them and continue flushing. ",-POOR_JUDGMENT-NEGLIGENCE
"While Performing sewer cleaning, Oswald's(subcontractor) vehicle was encroaching a traffic lane.  One of Oswald's workers was directing traffic while the vehicle was encroaching on the traffic lane.  The worker who was directing traffic was not wearing a safety vest and was not using a flag or pole to direct traffic.  Instead, he was waving traffic on using his hands.",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
While transferring services on Brownsville Rd a individual walking down the street stopped and asked the crew for a job.  The crew told him he needed to apply online.  As the individual continued walking down the street towards the next crew working he stopped and asked the second crew the same question.  After receiving the same answer the individual then jumped over the barricades and into the open ditch.  At that time I alerted the police officer that was onsite for traffic control and he took the individual away. ,-NEGLIGENCE
"Mark was operating a small track hoe when he reported that he had a head ache during his shift while operating the equipment. Upon his reporting the incident, a strong emission smell was indicated and reported out to his supervisor. Outside service was contacted and determined the injectors and exhaust system were faulty and found to be the cause. The equipment was taken out of service until repairs correcting the issue are addressed.",-NEGLIGENCE
Out doing meter reads and almost attacked by a dog but hit dog with a stick and dog ran off.  ,-NEGLIGENCE
While checking the operation of the fire hose nozzle and observed that the nozzle had been previously broken.  Removed the nozzle from service.  Had I not noted that the nozzle looked seized up and worn and inspected further the hose nozzle could have flew off if it had been used causing a serious injury.,-NEGLIGENCE
While working on the jobsite at 529 Sheridan Circle @ 10:00 AM. We had traffic diverted on the street and coned off with men working signs up. WVAW employee was visiting the site an and was heading back to his truck when a speeding car came through our work zone and almost hit employee. I shouted and grabbed employee and pulled him back in time to avoid being hit by the driver. ,-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
While changing Chlorine cylinders it was discovered that the valves on the ton Chlorine cylinders were opened all the way instead of the 1/4 to 1/2 turn that they should be.  ,-CHEMICAL
While changing the CL2 cylinders it was noticed that the valves were open 2-3 turns instead of 1/4-1/2 turns.,-CHEMICAL
"A traffic accident occurred in our work zone where we had flaggers present with road signs. The flagger had 3 vehicles stopped, when the fourth vehicles driver was not paying attention and crashed into the 3 stopped vehicles. If the first vehicle was stopped any closer to the flagger the impact would have caused an injury/fatality to the flagger. However no injuries occurred to any PA American water employees, but their were 3 injuries with the accident.",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
"A crew of contractors were welding/cutting in an elevated tower  when sparks from the task reached the ground. The grass had previously been cut and now dried became a potential fire hazard. The contractor did not have a key to enter the gate where the grass was located even though a fire guard was in attendance. The contractors stopped work ,put out the embers with water and contacted facility personnel for assistance in getting into the gate. The contractors now have access to get into the gate.",-NEGLIGENCE
Employees operating the NO-DES flushing truck were un-sure about the maximum system pressure under which the equipment would operate safely.  It was decided to stop equipment operation until the answer was determined.  Consultation with the manufacturer has clarified the maximum operating pressure which is consistent with our equipment SOP.  A visual warning will also be placed in a prominent position on the truck to remind operators of the limits.,-NEGLIGENCE
"While performing daily tasks, I found a tick dug into my leg. The tick was removed and I haven't had any symptoms as of yet. Another employee reported removing a tick from his person that was dug in. It was also removed and no symptoms",-POOR_JUDGMENT-NEGLIGENCE
I was checking Well # 7 and I looked up and spotted a black and white snake on the fence.  I left the well until the snake had left the area.,-POOR_JUDGMENT-NEGLIGENCE
Backflow preventer for fire hydrant had a malfunctioning valve.  Caused water to be ejected at a high velocity towards me.  I shut off hydrant and repaired the valve and put it back in use.,-NEGLIGENCE
"As I was pulling out of my parking space to go home at the end of the day, an employee's vehicle raced in front of me and cut me off.  I noticed that the employee was talking on her cell phone.  My vehicle was behind hers at the parking lot exit, and I saw that she was still on the phone.  She was not giving her full attention to her driving and was not staying in the proper lanes.",-POOR_JUDGMENT-NEGLIGENCE
"After an intense, localized, storm hit our area with heavy rain over already saturated ground, the filter plant experienced an inrush of water through the back doors. That inrush of water covered the main floor with an 1? or 2 of runoff. Fortunately, the damage was minimal with only cleanup required.   Obviously, the potential of runoff into a treatment facility is a concern.",-POOR_JUDGMENT-NEGLIGENCE
While picking up creek samples an employee got into some ticks. - Purchased some tick spray to keep in the truck.,-POOR_JUDGMENT-NEGLIGENCE
While walking down hallway found lowest draw to filing cabinets open and unattended. This presented a tripping hazard. Drawers closed. ,-NEGLIGENCE
"Afternoon of Monday June 13, electrical contractors were doing work in pump house 639. The job included entering a confined space to replace a heater.  American Water EH&S arrived prior to the confined space entry to review their procedures and safety equipment.  They did not have air monitoring equipment on sight.  All other appropriate equipment in place for confined space entry.  Entry was postponed until the contractor includes air monitoring with his confined space entry equipment.  Contractor completed work outside of confined space. Project engineer notified.  ",-POOR_JUDGMENT-NEGLIGENCE
Employee exited the building thru the side entrance at approx. 10:30 a.m.The door is solid with no window. As soon as he opened the door he was met by a large black bear approx. 4 feet away. He stepped back into the building and the bear walked away. ,-POOR_JUDGMENT-NEGLIGENCE
"During the hydrant replacement project along East Tower Road, contractors CRJ Contracting were raking the area adjacent to  where they had placed spoils from a prior excavation when they came upon what they suspected  was a UXO (unexploded ordinance) at approximately 1:05. ",-NEGLIGENCE
"Contracting crew were excavating in the street and hit a unmarked electrical line which caused a flash.  Crew stopped immediately to make sure no one was injured, ",-POOR_JUDGMENT-NEGLIGENCE
"An American Water employee was performing an inspection at Building 780. While entering the building he noticed a rattle snake located in the walk way. The employee exited the building, called the DCC, a snake wrangler came out, and removed the snake for relocation. ",-NEGLIGENCE
An employee was out meter reading and was attacked by a dog.  She was able to hit it with a rod to back it off. She was not harmed.  ,-NEGLIGENCE
"our meter reader reported to me that there is a snake skin at 25704 Tierra Grande.  Not sure if she saw the snake.  To ensure safety, I have called Becky from the Humane Wildlife Control to investigate.  She will investigate tomorrow on 7-6-16 and call me with the results. ",-NEGLIGENCE
"Water was found dripping out of ceiling light fixture, source was determined to be a faulty HVAC condensing unit. HVAC contractor was notified, currently on site completing repairs. Water was dripping onto electrical supply for fluorescent light future posing potential fire hazard.",-NEGLIGENCE
An employee reported a contractor was welding and had his grounding wire attached to the hand rail.  Employee informed supervisor who went out and notified the contractor to stop the hazard and informed them that they had to use the equipment properly.,-NEGLIGENCE
A product in the safety cabinet had exceeded the expiration date - The product was replaced.,-POOR_JUDGMENT-NEGLIGENCE
"While observing construction progress of the new SOV Pump Station contractors were working on roofing overhead. One of the contractors accidently dropped a large metal carpenters square which landed a few feet from where I was standing. Fortunately, I was wearing my hard hat.",-POOR_JUDGMENT-NEGLIGENCE
"Was at a company Safety Fair held outside. Dickey's BBQ Pit was served by the company for lunch. Observed one employee eating Pulled Pork, who proceeded to find a rib bone in the meat, and remove it....avoiding a choking incident.",-POOR_JUDGMENT-NEGLIGENCE
The booster pumps for our hypochlorite generation system were not properly locked out (missing locks with keys). The appropriate lockout/tagout procedures have now been followed.,-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE
"While doing pretrip inspection of company pool vehicle I noticed a razorblade on the drivers side floor. I quickly disposed of the razorblade so no one was injured.  Chemical delivery driver connected tanker truck to the wrong tank port on building.  The driver connected the fluoride line to his truck containing PACL.  The chemical delivery driver collected a grab sample of PACL in a bucket for quality testing.  Meanwhile WVAW  employee unlocked the cap on the connection line and instructed the driver to make the connection to his truck but do not open any valves; meanwhile John took the sample inside for testing.  When employee returned, the driver had connected the wrong line to his truck.  Luckily the connection lines are purposely different colors and employee immediately caught the issue.  Employee helped the driver disconnect the fluoride line and connect the correct PACL line",-CHEMICAL
Snowblowers and small generators containing gasoline were being stored in an electrical room. The equipment has been moved and employees have been instructed not to place any gas-powered equipment in the electrical room.,-NEGLIGENCE
"A contractor was renewing a service when the onsite inspector noticed a small hole developing in the bottom of the service trench and pulled the tech out of the hole.  Upon the contractor exiting the hole, a section of the bottom of the trench collapsed exposing a 16 foot deep hole migrating into an old mine shaft.  The city was called to investigate immediately. ",-POOR_JUDGMENT-NEGLIGENCE
The cover on a sump hole was tilted and not seated properly - The cover was leveled & reset.,-POOR_JUDGMENT-NEGLIGENCE
Louie Tucci witnessed a subcontractor's employees working on a watermain replacement project and prepare to enter a hole that did not have shoring equipment installed. Louie advised them that shoring equipment was necessary before anyone could enter the hole and start work. Louie remained on site until the shoring equipment was installed. This incident was forwarded on to our Engineering Department who have been working closely with the both the contractor and the subcontractor to ensure this does not occur again.,-TRENCHING-NEGLIGENCE
"On the morning of the incident two employees hooked up a trailer to a truck. A short time later when the vehicle went over a set of railroad tracks the trailer came off of the ball. The safety chains had been used and prevented further damage. During the investigation it was found that the employee did not use the proper size trailer ball when they switched from another trailer.  All trailers are being switched to a standardized size and smaller balls will be removed from the site to prevent their use and future confusion, mistakes or accidents.",-VEHICLE-NEGLIGENCE
Oncall employee onsite responding to a high level alarm at lift station after hours. Supervisor assisting employee in restoring LS to operation via phone. Employee working through trouble shooting process to establish root cause of problem. During this process employee did not recognize that he had exposed himself to hazards by entering panels without proper shielding or PPE. Supervisor was assisting via phone and did not immediately realize or was not informed by the employee that he was not wearing proper PPE and that the employee was onsite exposed.  Employees have been retrained and incident discussed and facilities are being evaluated for possible safety upgrades.,-NEGLIGENCE
Bleach was left in the lab over night in an open and unapproved storage container.  Disposed of.,-CHEMICAL
"While working to set up the Safety Fair in Gary on 07/13. I spoke with an employee operating a forklift and another employee as they were setting up tables and chairs inside the Service Center vehicle garage, the location where the event was held.  After I finished speaking with the forklift operator I took a couple steps forward until I stopped and realized I was going to cross right in front of the forklift operator and had not even made eye contact with him after our conversation ended. This could have led me to walk right in the path of a potentially moving forklift.  I stopped, took a couple steps back.  Made eye contact with the forklift driver and let him pass me before I continued walking.",-NEGLIGENCE
Smoking container is smoldering.  I advised the front desk.  Area is located outside in smoking area.,-NEGLIGENCE
"On Tuesday, 7/26/16, there was a shortage in the power strip under my desk.  Everything turned off and there was a loud crackling sound coming from the power strip.",-ELECTRICAL-NEGLIGENCE
West Nile virus has shown up in mosquitoes in our area. Although there are no occurrences yet with humans it is a good reminder to take appropriate protection against bites.,-POOR_JUDGMENT-NEGLIGENCE
"Observed an employee work area that had a large space heater turned on under their desk. Space heater too large for the space, and too close to paper & cardboard boxes. Boxes were hot to the touch. Employee was not at their desk. Turned off space heater & left note for employee, explaining the hazard. Followed up with an in-person discussion the next day.",-NEGLIGENCE
"Employee reported that when he was pulling out ground glass stopper from sample bottle,  the stopper broke in the middle.  Employee was vigilant and no injury occurred.Plastic stoppers were ordered  and now are in use instead of glass stoppers.",-POOR_JUDGMENT-NEGLIGENCE
Employee was locating valves in the Pine Ridge community when he felt a sting on stomach.  (Walking through high grassy areas)  Lifted shirt to find a tick attached to skin.  Pulled tick off and notified supervisor.  Employee filled out Incident Report and will monitor area for any other indications of issue.,-POOR_JUDGMENT-NEGLIGENCE
Employee was struck in the cheek bone while stacking cones.  I advised always keep one hand on the bottom of the cone and one on the top to prevent this from happening again.  No treatment needed,-POOR_JUDGMENT-NEGLIGENCE
FSR was out reading a meter.  Went into the back yard to get to meter. One dog came out and ignored her then another dog came out and jumped the fence and began to chase her.  The owner came out the house and called the German Sheppard but he didn't listen. Luckily another dog was barking so he ran after the other dog and the FSR was able to get to the truck.  ,-NEGLIGENCE
"Field crew and engineering group visited a PRV vault that is reportedly in a deteriorated condition.  The field crew prepared the vault for entry by venting the vault, removing standing water and placing an air monitor into the vault.  The vault was deemed safe for entry.  When attempting to enter the vault and testing the stability of the ladder, the ladder (which is welded to the structure top and bottom) broke away from the hatch riser at the top of the structure and moved away from the hatch causing the potential to fall into the vault.  ",-FALL-POOR_JUDGMENT-NEGLIGENCE
An employee reported during Mock OSHA audit it was found that water sample coolers are blocking safety eyewash and fire extinguisher in the plant lab. All items are being removed.,-VEHICLE-NEGLIGENCE
Front desk was called already.  Smoking pot has smoke coming out of it.  The one that is located within the American Water section closest to Burnt Mill Rd where sidewalk bends.,-NEGLIGENCE
"On 8-11-12 the Susquehanna Dist on call employee received a call from FRCC to investigate a possible leak in a customers yard. The call was received during severe electrical thunder storm. The on-call employee identified the risk of being out in the open to investigate the customer call. The employee reached out to the supervisor to discuss the safety risk and how to proceed. The on-call employee reached out to the customer to determine their situation. The customer still had water and the customer was not sure if a leak or water from rain. The on-call employee was able to work with the customer so that someone would investigate in the morning. Had the customer need been more urgent, the customer would have been informed that when the storm passes he would be out. Despite the after hour call from a customer, the on call employee was able to identify a safety risks and was able to mitigate the need to address the customer concern till when conditions were safer. The on call employee made the correct decision.",-NEGLIGENCE
Contractor was given permission to close Bellrichard to repair the road where AW MSG dug to repair main water line. Contractor was told what specific signs were required by base traffic (MP's). Inspected site and contractor had the road barricaded but no signs in place. Called contractor management and stayed on site until all signs were put in place.,-VEHICLE-NEGLIGENCE
